"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2018","413.09","405.92","414.17","401.01","","1.42%"
"07/09/2018","407.30","419.07","419.19","404.97","","-2.66%"
"07/06/2018","418.45","420.43","421.63","415.53","","-0.03%"
"07/05/2018","418.59","417.21","423.15","415.81","","0.46%"
"07/04/2018","416.68","431.09","431.09","414.60","","-3.47%"
"07/03/2018","431.66","434.23","434.36","430.38","","-0.48%"
"07/02/2018","433.75","434.98","439.47","431.58","","-0.19%"
"06/29/2018","434.59","433.87","437.55","433.21","","-0.12%"
"06/28/2018","435.11","432.82","437.20","429.60","","0.58%"
"06/27/2018","432.58","431.40","437.98","430.13","","0.42%"
"06/26/2018","430.76","430.50","435.93","429.52","","0.06%"
"06/25/2018","430.50","432.67","438.13","428.83","","-0.52%"
"06/22/2018","432.73","438.29","440.59","431.56","","-1.35%"
"06/21/2018","438.66","445.38","445.38","437.48","","-1.84%"
"06/20/2018","446.86","458.62","458.62","445.93","","-2.64%"
"06/19/2018","458.96","463.68","464.30","456.70","","-1.14%"
"06/14/2018","464.24","465.74","467.09","460.72","","-0.39%"
"06/13/2018","466.04","463.32","468.43","462.52","","0.53%"
"06/12/2018","463.57","473.80","477.35","462.08","","-2.50%"
"06/11/2018","475.48","472.82","479.93","472.34","","0.62%"
"06/07/2018","472.55","474.17","478.83","471.43","","-0.28%"
"06/06/2018","473.86","462.65","474.66","461.31","","2.48%"
"06/05/2018","462.39","454.76","463.49","452.98","","1.70%"
"06/04/2018","454.64","448.65","455.51","446.82","","1.23%"
"06/01/2018","449.10","444.86","450.23","443.70","","-0.13%"
"05/31/2018","449.68","444.92","452.22","443.77","","1.15%"
"05/30/2018","444.57","450.96","452.86","443.35","","-1.46%"
"05/29/2018","451.17","442.19","452.46","441.00","","1.98%"
"05/28/2018","442.42","448.03","449.85","439.79","","-0.67%"
"05/25/2018","445.42","450.31","450.31","443.32","","-0.96%"
"05/24/2018","449.75","453.87","455.58","448.06","","-0.97%"
"05/23/2018","454.17","455.11","458.70","451.88","","-0.20%"
"05/22/2018","455.08","447.47","456.58","447.47","","1.73%"
"05/21/2018","447.36","446.38","449.60","444.82","","0.66%"
"05/18/2018","444.43","446.17","447.68","442.45","","-0.18%"
"05/17/2018","445.22","449.91","451.33","442.92","","-1.32%"
"05/16/2018","451.16","454.31","456.42","450.03","","-0.72%"
"05/15/2018","454.43","452.44","456.21","450.03","","0.10%"
"05/14/2018","453.99","464.47","464.47","452.36","","-2.28%"
"05/11/2018","464.59","465.01","468.59","463.63","","-0.15%"
"05/10/2018","465.30","468.18","471.80","463.73","","-0.49%"
"05/09/2018","467.61","469.28","471.78","461.57","","-0.40%"
"05/08/2018","469.50","473.60","473.73","467.24","","-0.85%"
"05/07/2018","473.51","479.47","479.63","472.29","","-1.26%"
"05/04/2018","479.53","486.30","486.36","478.24","","-1.36%"
"05/03/2018","486.13","493.17","495.05","482.97","","-1.42%"
"05/02/2018","493.11","498.48","499.26","492.30","","-1.26%"
"04/30/2018","499.39","501.45","504.98","497.60","","-0.20%"
"04/27/2018","500.39","501.38","503.92","499.15","","0.14%"
"04/26/2018","499.70","502.86","504.21","498.66","","-0.62%"
"04/25/2018","502.81","504.37","505.27","501.90","","-0.44%"
"04/24/2018","505.03","498.04","506.07","497.59","","1.56%"
"04/23/2018","497.28","496.01","498.51","494.56","","0.14%"
"04/20/2018","496.58","502.95","505.64","493.94","","-1.23%"
"04/19/2018","502.76","501.21","505.19","496.89","","-0.30%"
"04/18/2018","504.25","511.02","512.46","502.99","","-1.32%"
"04/17/2018","511.01","514.67","514.67","505.78","","-0.57%"
"04/16/2018","513.93","520.99","520.99","513.52","","-1.40%"
"04/13/2018","521.24","526.79","528.87","521.06","","-1.41%"
"04/12/2018","528.71","531.63","531.69","525.90","","-0.43%"
"04/11/2018","531.00","531.95","537.34","529.96","","-0.32%"
"04/10/2018","532.73","533.93","535.32","530.96","","-0.50%"
"04/09/2018","535.41","535.83","537.82","533.65","","-0.23%"
"04/06/2018","536.65","539.18","548.68","534.69","","0.06%"
"04/05/2018","536.32","527.86","539.08","525.38","","1.84%"
"04/04/2018","526.64","525.30","529.82","523.37","","0.17%"
"04/03/2018","525.77","525.21","527.14","522.82","","-0.15%"
"04/02/2018","526.55","526.12","527.22","520.27","","-0.07%"
"03/30/2018","526.92","523.62","528.63","522.92","","0.60%"
"03/29/2018","523.78","518.94","524.72","518.91","","0.86%"
"03/28/2018","519.30","516.61","520.19","514.40","","0.23%"
"03/27/2018","518.12","520.40","525.12","516.63","","-0.76%"
"03/26/2018","522.09","519.77","524.45","514.67","","0.41%"
"03/22/2018","519.96","514.48","521.43","514.14","","1.13%"
"03/21/2018","514.14","507.58","516.75","507.58","","1.10%"
"03/20/2018","508.57","493.67","510.75","493.12","","2.92%"
"03/19/2018","494.13","490.08","495.35","489.25","","0.63%"
"03/16/2018","491.03","493.07","494.71","488.96","","-0.67%"
"03/15/2018","494.35","494.07","495.11","492.61","","0.06%"
"03/14/2018","494.07","499.02","499.02","493.39","","-1.13%"
"03/13/2018","499.70","498.04","500.56","495.13","","0.37%"
